titolo,descrizione,path_immagine,link_articolo,data
Strage di Piazza Fontana,La strage di Piazza Fontana fu conseguenza di un grave attentato terroristico compiuto il 12 dicembre 1969 nel centro di Milano presso la Banca Nazionale dell'Agricoltura e che causò 17 morti e 88 feriti. ,https://upload.wikimedia.org/wikipedia/it/thumb/7/72/Piazza_Fontana.jpg/466px-Piazza_Fontana.jpg,https://it.wikipedia.org/wiki/Strage_di_piazza_Fontana,1969/12/12
L'Italia entra a far parte delle Nazioni Unite,In questa data l'Italia entra ufficialmente a far parte delle Nazioni Unite con il presidente della repubblica Giovanni Gronchi.,http://www.ildialogodimonza.it/wp-content/uploads/2014/12/onu-bandiere.jpg,http://www.ildialogodimonza.it/litalia-finalmente-nell-onu/,1955/12/14
Arresto di 90 mafiosi a seguito dell' Operazione Perseo condotta dai Carabinieri,"Operazione Perseo era il nome in codice di un operazione contro ""Cosa Nostra"" condotta dall'Arma dei Carabinieri di Palermo",https://tse4.mm.bing.net/th?id=OIP.bAu1zXrRNs5IDLZRdPcUVgHaHe&pid=Api&P=0&w=300&h=300,https://it.wikipedia.org/wiki/Operazione_Perseo,2008/12/16
Strage di Fiumicino,"Fu  un attentato terroristico che colpì l'aeroporto di Roma-Fiumicino, causando la morte di 34 persone e e il ferimento di altre 15 persone.  ",https://upload.wikimedia.org/wikipedia/it/thumb/7/7a/StrageFiumicino1973.jpg/260px-StrageFiumicino1973.jpg,https://it.wikipedia.org/wiki/Attentato_di_Fiumicino_del_1973,1973/12/17
L'Assemblea Costituente approva la Costituzione della Repubblica,"La Costituzione della Repubblica Italiana è la legge fondamentale dello Stato italiano, che in quanto tale occupa il vertice della gerarchia delle fonti nell'ordinamento giuridico della Repubblica",https://upload.wikimedia.org/wikipedia/commons/thumb/7/7c/Costituzione_della_Repubblica_Italiana.jpg/343px-Costituzione_della_Repubblica_Italiana.jpg,https://it.wikipedia.org/wiki/Costituzione_della_Repubblica_Italiana,1947/12/22
Strage del Rapido 904 ,Strage del Rapido 904 o strage di Natale è il nome attribuito a un attentato dinamitardo avvenuto il 23 dicembre 1984 nella Grande Galleria dell'Appennino,https://upload.wikimedia.org/wikipedia/it/8/86/Rapido_904.jpg,https://it.wikipedia.org/wiki/Strage_del_Rapido_904,1984/12/23
Termina il Giubileo Universale indetto da Papa XIII,"Nella Chiesa cattolica il Giubileo è l'anno della remissione dei peccati, della riconciliazione, della conversione e della penitenza sacramentale.",https://upload.wikimedia.org/wikipedia/it/thumb/1/11/Giubileo_della_Redenzione_-_Apertura_della_Porta_Santa.jpg/220px-Giubileo_della_Redenzione_-_Apertura_della_Porta_Santa.jpg,https://it.wikipedia.org/wiki/Giubileo_universale_della_Chiesa_cattolica,1901/12/24
Nasce  il Movimento Sociale Italiano,"Il Movimento Sociale Italiano - Destra Nazionale (MSI-DN), fino al 1972 Movimento Sociale Italiano (MSI), è stato un partito politico italiano, d'ispirazione neofascista",https://upload.wikimedia.org/wikipedia/commons/thumb/2/22/Movimento_Sociale_Italiano_Logo.svg/150px-Movimento_Sociale_Italiano_Logo.svg.png,https://it.wikipedia.org/wiki/Movimento_Sociale_Italiano_-_Destra_Nazionale,1946/12/26
Strage di Casteltermini,"La Strage di Casteltermini fu un attentato mafioso avvenuto il 26 dicembre 1920, ai danni della sezione socialista della città, in cui persero la vita cinque persone",https://tse4.mm.bing.net/th?id=OIP.fwfECuqAXF2Fm7t3UfN4awHaEw&pid=Api&P=0&w=309&h=200,https://www.wikimafia.it/wiki/Strage_di_Casteltermini,1920/12/26
Il Molise diventa la 20 regione d'Italia,"Il Molise è una regione italiana a statuto ordinario dell'Italia meridionale di 296 198 abitanti, con capoluogo Campobasso.",https://upload.wikimedia.org/wikipedia/commons/thumb/7/7b/Confini_del_Molise.png/260px-Confini_del_Molise.png,https://it.wikipedia.org/wiki/Molise,1963/12/27
Viene sciolta la Federazione Giovanile Comunista Italiana,"La Federazione Giovanile Comunista Italiana (FGCI) è stata l'organizzazione dei giovani comunisti del Partito Comunista Italiano (PCI), erede diretta della Federazione Giovanile Socialista Italiana.",https://upload.wikimedia.org/wikipedia/commons/thumb/c/cd/Emblem_of_FGCI.svg/150px-Emblem_of_FGCI.svg.png,https://it.wikipedia.org/wiki/Federazione_Giovanile_Comunista_Italiana,1990/12/27
Terremoto In Calabria e in Sicilia ,Il terremoto di Messina del 1908 (citato in letteratura scientifica come terremoto della Calabria meridionale-Messina o anche come terremoto calabro-siculo) è considerato uno degli eventi sismici più catastrofici del XX secolo.,https://upload.wikimedia.org/wikipedia/commons/thumb/6/69/Terremoto_del_1908_-_Antica_cartolina_con_l%27indicazione_di_Reggio_e_di_Messina.jpg/260px-Terremoto_del_1908_-_Antica_cartolina_con_l%27indicazione_di_Reggio_e_di_Messina.jpg,https://it.wikipedia.org/wiki/Terremoto_di_Messina_del_1908,1908/12/28
Conclusione del Piano Marshall ,"Il Piano Marshall, ufficialmente chiamato piano per la ripresa europea (in lingua originale ""European Recovery Program""), fu  un  piano politico-economico statunitense finalizzato alla ricostruzione dell'Europa dopo la seconda guerra mondiale.Furono distribuiti circa 12 miliardi di dollari ",https://upload.wikimedia.org/wikipedia/commons/thumb/b/b3/Marshall_Plan_poster.JPG/220px-Marshall_Plan_poster.JPG,https://it.wikipedia.org/wiki/Piano_Marshall,1951/12/31
Scadenza del mandato italiano come membro non permanente del Consiglio di sicurezza delle Nazioni Unite,Il Consiglio di sicurezza delle Nazioni Unite (United Nations Security Council - UNSC) è l'organo delle Nazioni Unite incaricato di mantenere la pace e la sicurezza internazionali in conformità con i principi e le finalità delle Nazioni Unite,https://upload.wikimedia.org/wikipedia/commons/thumb/3/35/United_Nations_Security_Council.jpg/260px-United_Nations_Security_Council.jpg,https://it.wikipedia.org/wiki/Consiglio_di_sicurezza_delle_Nazioni_Unite,2008/12/31
