titolo,descrizione,path_immagine,link_articolo,data
Mussolini e Hitler si incontrano per la prima volta,In questa data i due dittatori si incontrarono per la prima volta nella storia e ciò cambierà le sorti dell'Iatlia e del mondo; infatti il tema principale del loro colloquio fu la questione austriaca,https://net-storage.tcccdn.com/storage/politicanews.it/img_notizie/thumb3/e1/e19e464d9d0ce527193b101952268b92-29265-a742ae2c5fb03a50de9c43d5dc52a44e.jpeg,https://www.politicanews.it/ricordate/ricordate-14-giugno-1934-mussolini-e-hitler-si-incontrano-per-la-prima-volta-10294,1934/06/14
Viene emanato il primo Testo unico del Codice della strada,Il Codice della strada è un codice della Repubblica italiana che disciplina la circolazione stradale ed indica una generale disciplina dei trasporti.,https://tse1.mm.bing.net/th?id=OIP.90CHyWGumRvMGokU-yru7QAAAA&pid=Api&rs=1&c=1&qlt=95&w=79&h=116,https://it.wikipedia.org/wiki/Codice_della_strada_(Italia),1959/06/15
Guerra Italo-Turca,Da qui iniziano le operazioni per l'occupazione di Misurata,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f1/Italo-Turkish_war_collage.jpg/480px-Italo-Turkish_war_collage.jpg,https://it.wikipedia.org/wiki/Guerra_italo-turca,1912/06/16
Il Tricolore privo dello stemma sabaudo diviene bandiera nazionale della Repubblica Italiana,In quella data grazie al decreto del Presidente del Consiglio dei Ministri venne eliminato lo stemma sabaudo. L'articolo 12 della Costituzione ribadisce che  la bandiera italiana è il tricolore. ,https://upload.wikimedia.org/wikipedia/commons/thumb/0/03/Flag_of_Italy.svg/480px-Flag_of_Italy.svg.png,https://www.politicanews.it/ricordate/ricordate-19-giugno-1946-il-tricolore-privo-dello-stemma-sabaudo-diviene-bandiera-nazionale-della-repubblica-italiana-10968,1946/06/19
In Italia si svolgono le elezioni politiche per il rinnovo dei due rami del Parlamento,Per la prima volta alle lezioni politiche per il rinnovo della Cameradei Deputati (uno dei due rami del Parlamento) votarono anche i diciottenni.,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0f/Elezioni_Camera_1976_Comuni.png/370px-Elezioni_Camera_1976_Comuni.png,https://it.wikipedia.org/wiki/Elezioni_politiche_italiane_del_1976,1976/06/20
L'italia aderisce alla Convenzione di Berna,La Convenzione di Berna nacque per la protezione delle opere letterarie e artistiche; consiste in un accordo internazionale che stabilisce il riconoscimento reciproco del diritto dell'autore tra le nazioni aderenti.,https://tse1.mm.bing.net/th?id=OIP.2MLRYW_7Ua7jGpSMIvx-_QHaDz&pid=Api&rs=1&c=1&qlt=95&w=205&h=105,https://it.wikipedia.org/wiki/Convenzione_di_Berna_per_la_protezione_delle_opere_letterarie_e_artistiche,1978/06/20
Nilde Iotti è la prima donna che viene eletta  Presidente donna della Camera dei deputati,"Nilde Lotti fu la prima donna che ricoprì la terza carica dello Stato, la Presidenza della Camera dei Deputati, incarico che durò per quasi 13 anni, durante 3 legislature.",https://upload.wikimedia.org/wikipedia/it/thumb/e/ec/NildeIotti.jpg/342px-NildeIotti.jpg,https://it.wikipedia.org/wiki/Nilde_Iotti,1979/06/20
Giovanni Battista Montini viene eletto Papa a Roma,"Giovanni Battista Montini, arcivescovo di Milano, assunse il nome di Papa Paolo VI e venne eletto dopo la morte di Papa Giovanni XXIII.",https://upload.wikimedia.org/wikipedia/commons/thumb/b/b0/Paulus_VI%2C_by_Fotografia_Felici%2C_1969.jpg/367px-Paulus_VI%2C_by_Fotografia_Felici%2C_1969.jpg,https://it.wikipedia.org/wiki/Conclave_del_1963,1963/06/21
Viene allestito il Vittoriale degli Italiani,"Esso è un complesso di edifici, vie, piazze, un teatro all'aperto, giardini e corsi d'acqua ",https://upload.wikimedia.org/wikipedia/it/thumb/8/80/Vittoriale_il_complesso_monumentale.jpg/480px-Vittoriale_il_complesso_monumentale.jpg,https://it.wikipedia.org/wiki/Vittoriale_degli_Italiani,1926/06/22
Viene emanata dal governo italiano l'amnistia passata alla storia come l'Amnistia Togliatti,"Questa amnistia fu un provvedimento assunto per l' estinzione delle pene (reati comuni e politici), proposto alla fine della Seconda Guerra Mondiale dal Ministro di Grazia e Giustizia Palmiro Togliatti del PCI. Secondo Togliatti pacificare la nazione era la condizione necessaria per  avviare rapidamente il paese verso una condizione di ""pace sociale e politica"" ",https://tse2.mm.bing.net/th?id=OIP.0Eos8OlHnuXhT0L3cz3GlAHaD4&pid=Api&P=0&w=317&h=167,https://it.wikipedia.org/wiki/Amnistia_Togliatti,1946/06/22
L'Italia vince contro l'impero austroungarico nella seconda battaglia del Piave," Essa fù combattuta tra l'imperiale e regio esercito astro-ungarico e il Regio esercito italiano ed impegno gli austroungarici nella loro ultima grande offensiva della prima guerra mondiale.
",https://upload.wikimedia.org/wikipedia/commons/thumb/6/68/Battle_of_the_Piave_River_1918.jpg/480px-Battle_of_the_Piave_River_1918.jpg,https://it.wikipedia.org/wiki/Battaglia_del_solstizio,1918/06/24
Francesco Consiga è eletto ottavo Presidente della Repubblica Italiana,"Egli è stato un politico, giurista e accademico italiano; è stato uno degli più importanti e influenti Presidenti della Prima Repubblica.",https://upload.wikimedia.org/wikipedia/commons/thumb/2/24/Cossiga_Francesco.jpg/321px-Cossiga_Francesco.jpg,https://it.wikipedia.org/wiki/Francesco_Cossiga,1985/06/24
In Italia si insedia l'Assemblea Costituente ,"L'Assemblea Costituente fu, in Italia, l'organo legislativo elettivo preposto alla stesura di una Costituzione per la neonata Repubblica e che diede vita alla Costituzione della Repubblica Italiana nella sua forma originaria. Le sedute si svolsero fra il 25 giugno 1946 e il 31 gennaio 1948. Votò inoltre la fiducia ai governi che si susseguirono in quel periodo.",https://upload.wikimedia.org/wikipedia/commons/thumb/1/1a/Assemblea_Costituente_1946.svg/480px-Assemblea_Costituente_1946.svg.png,https://it.wikipedia.org/wiki/Assemblea_Costituente_(Italia),1946/06/25
Si celebra la seconda delle due giornate del referendum per l'approvazione del disegno di legge costituzionale,Il secondo referemdum aveva ad oggetto la riforma diretta a modificare sotto più profili la seconda parte della Costituzione italiana.,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e4/Referndum2006.png/381px-Referndum2006.png,https://it.wikipedia.org/wiki/Referendum_costituzionale_in_Italia_del_2006,2006/06/26
Viene firmato il Trattato di Versailles che pone ufficialmente fine alla Prima guerra Mondiale,"Il trattato di Versailles, anche detto patto di Versailles, è uno dei trattati di pace che pose ufficialmente fine alla prima guerra mondiale. Fu stipulato nell'ambito della conferenza di pace di Parigi del 1919 e firmato da 44 Stati il 28 giugno 1919 a Versailles, in Francia, nella galleria degli specchi del palazzo di Versailles. È suddiviso in 16 parti e composto da 440 articoli.",https://upload.wikimedia.org/wikipedia/commons/thumb/1/15/Treaty_of_Versailles_oldphoto.jpg/480px-Treaty_of_Versailles_oldphoto.jpg,https://it.wikipedia.org/wiki/Trattato_di_Versailles_(1919),1919/06/28
Due militanti del Movimento Socialie Italiano vengono uccisi nella sede del MSI a Padova,Esso fu un attentato fatto a Giuseppe Mazzola e Graziano Giralucci ed entrambi furono i primi omicidi commessi dalle Brigate Rosse. ,https://upload.wikimedia.org/wikipedia/commons/thumb/2/22/Movimento_Sociale_Italiano_Logo.svg/480px-Movimento_Sociale_Italiano_Logo.svg.png,https://it.wikipedia.org/wiki/Assalto_alla_sede_del_Movimento_Sociale_Italiano_di_Padova,1974/06/17
